,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.83,0.793,1.811,0.573,1.808,0.579,2.268,0.495,1.341,0.538,1.234,0.634,1.469,0.53,1.296,0.615
1,1,0.772,0.839,1.795,0.626,1.681,0.647,2.422,0.509,1.801,0.578,1.81,0.608,1.684,0.571,1.836,0.609
2,2,0.833,0.829,1.532,0.686,1.511,0.685,2.324,0.537,2.033,0.579,2.371,0.524,1.807,0.615,2.451,0.52
3,3,0.646,0.857,1.288,0.724,1.197,0.74,2.119,0.573,1.818,0.618,2.048,0.523,2.128,0.568,2.045,0.563
4,4,0.683,0.85,1.305,0.719,1.155,0.751,2.106,0.568,1.571,0.672,1.957,0.557,1.917,0.607,1.883,0.599
5,5,0.593,0.852,1.239,0.692,1.155,0.712,2.054,0.55,1.093,0.704,1.797,0.568,2.035,0.568,1.704,0.591
6,6,1.033,0.741,1.728,0.582,1.698,0.572,2.441,0.462,1.824,0.565,2.067,0.526,2.14,0.48,1.638,0.587
7,7,1.115,0.525,1.752,0.403,1.763,0.41,2.337,0.37,2.034,0.392,1.048,0.449,1.997,0.404,1.331,0.449
8,8,1.088,0.504,1.713,0.411,1.688,0.418,2.305,0.366,1.557,0.402,1.237,0.443,1.406,0.441,1.294,0.449
9,9,1.938,0.292,2.121,0.295,2.109,0.291,2.356,0.325,2.236,0.263,1.39,0.399,1.827,0.138,1.768,0.309
10,10,5.548,0.001,5.165,0.058,5.142,0.063,4.439,0.163,5.142,0.063,5.142,0.063,5.142,0.063,5.142,0.063
11,11,5.548,0.001,5.165,0.058,5.142,0.063,4.439,0.163,5.142,0.063,5.142,0.063,5.142,0.063,5.142,0.063
